Protein	Beg	End	Reference
NOX1	5126068	5129989	chr4
CSTF2	5137839	5131288	chr4
TRMT12	5138073	5141308	chr4
SYTL4	5141719	5149466	chr4
SRPX2	5155273	5149817	chr4
TSPAN6	5156286	5162094	chr4
TNMD	5172186	5164391	chr4
PCDH19	5187964	5236033	chr4
LOC101748592	5269963	5311575	chr4
LOC101748554	5356365	5349489	chr4
DIAPH1	5935039	5777406	chr4
LOC101748636	5935158	5990829	chr4
LOC101748779	6434630	6444354	chr4
LOC101748814	6484747	6487668	chr4
LOC422264	6996296	6541801	chr4
LOC101749069	6997615	7018744	chr4
LOC101749167	7100263	7099210	chr4
LOC101749251	7528514	7558075	chr4
LOC101749213	7561362	7578256	chr4
LOC101749292	7975821	7960716	chr4
KLHL4	8091624	8058001	chr4
DACH2	8521317	8257306	chr4
LOC771335	8500255	8401245	chr4
MIR1462	8488495	8488386	chr4
CHM	8537982	8597329	chr4
LOC101749999	8602269	8634274	chr4
POF1B	8634423	8652517	chr4
LOC101749695	8655030	8646959	chr4
ZNF711	8676182	8652449	chr4
LOC422270	8692481	8675907	chr4
APOOL	8712438	8699338	chr4
LOC101749809	8860926	8720841	chr4
LOC101749874	8908184	8906724	chr4
HDX	8906961	8943986	chr4
RPS6KA6	8966501	9006792	chr4
LOC100858845	9015731	9010677	chr4
POU3F3	9044082	9043414	chr4
LOC101750474	9048264	9078157	chr4
LOC101750517	9277114	9264056	chr4
LOC422276	9308464	9282707	chr4
LOC101750621	9320880	9317144	chr4
SH3BGRL	9353796	9323046	chr4
HMGN5	9364277	9371552	chr4
LOC101750131	9390154	9403049	chr4
BRWD3	9399640	9443398	chr4
FAM46D	9476976	9464665	chr4
LOC100859007	9482208	9503651	chr4
LOC422284	9508812	9512126	chr4
CLCN5	9520933	9562970	chr4
TRAIL-LIKE	9573092	9570163	chr4
LOC101751296	9774376	9763964	chr4
LOC101751462	9881993	9876362	chr4
SLITRK4	9879284	9886835	chr4
LOC101751530	9933571	9913940	chr4
LOC101751563	10068861	9935078	chr4
LOC101751604	10323917	10325035	chr4
SOX3	10485878	10487700	chr4
LOC101751652	10521001	10554322	chr4
MIR1750	10531500	10531584	chr4
LOC101751690	10557667	10599735	chr4
GABRQ	10691837	10625121	chr4
GABRA3	10725127	10786981	chr4
GABRE	10807955	10839711	chr4
CNGA2	10898195	10881124	chr4
LOC101750212	10898507	10898195	chr4
LOC771612	10906260	10899661	chr4
PRRG3	10916483	10906876	chr4
MIR1728	10910560	10910465	chr4
RIPPLY1	10918043	10916935	chr4
CLDN2	10920322	10922848	chr4
LOC422293	10954829	10938816	chr4
LOC422295	10969558	10958160	chr4
LOC771657	10978286	10970600	chr4
TMLHE	10995125	10979968	chr4
SPRY3	11009602	11010492	chr4
LOC100859281	11022921	11020684	chr4
LOC101748023	11025793	11024361	chr4
POU4F3	11066060	11067607	chr4
EDNRB2	11117719	11126899	chr4
POLR1D	11136060	11129871	chr4
VAMP7	11136143	11153888	chr4
LOC100859323	11159129	11156394	chr4
LOC422298	11175677	11165973	chr4
LOC422301	11203905	11175634	chr4
LOC101748315	11224693	11204468	chr4
NSDHL	11242469	11231948	chr4
CETN2	11242794	11247198	chr4
LOC422304	11247736	11252374	chr4
LOC422305	11258021	11254200	chr4
LOC428714	11260797	11268965	chr4
LOC422306	11289536	11277293	chr4
LOC422307	11289895	11297254	chr4
GLOD5	11303638	11297734	chr4
LOC422308	11326782	11303730	chr4
KCTD12	11342209	11345921	chr4
LOC101749593	11359555	11371274	chr4
KLF8	11418091	11398976	chr4
LOC101749773	11425575	11423425	chr4
RRAGB	11442822	11429544	chr4
TRNAE-UUC	11442451	11442522	chr4
LOC771752	11534633	11491771	chr4
MIR1790	11534575	11534471	chr4
LOC101750069	11534869	11553939	chr4
LOC101750275	11564172	11558973	chr4
LOC101750229	11564221	11576801	chr4
MTMR8	11583657	11607670	chr4
ASB12	11612707	11617276	chr4
LOC101750405	11620214	11616661	chr4
FAM123B	11620461	11635355	chr4
ARHGEF9	11643321	11829910	chr4
LOC101751212	11885435	11878227	chr4
LOC422316	11883122	12005948	chr4
LOC422317	12044269	12058056	chr4
CDX4	12065414	12074016	chr4
CHIC1	12079184	12097974	chr4
LOC422319	12101831	12126417	chr4
LOC422320	12158021	12128064	chr4
LOC101751268	12181089	12182660	chr4
LOC422321	12200998	12190476	chr4
USP12P1	12206832	12235083	chr4
LOC100858332	12241042	12241688	chr4
LOC422323	12258994	12246596	chr4
SLC16A2	12269432	12293457	chr4
RLIM	12315456	12302384	chr4
KIAA2022	12373402	12327687	chr4
MIR1573	12427396	12427324	chr4
LOC101751957	12457097	12460977	chr4
ABCB7	12505877	12469217	chr4
UPRT	12517342	12529051	chr4
ZDHHC15	12560760	12530018	chr4
LOC101752308	12718578	12709621	chr4
LOC101747247	12734511	12731371	chr4
LOC100857145	12750301	12739727	chr4
FGF16	12750300	12760703	chr4
ATRX	12843519	12765905	chr4
MAGT1	12860840	12847013	chr4
TRNAL-CAA	12861655	12861541	chr4
LOC771947	12861826	12864441	chr4
ATP7A	12865332	12892756	chr4
PGK1	12871844	12909050	chr4
AMOT	12913720	12976053	chr4
TRPC5	13010664	13102445	chr4
ALG13	13141385	13111485	chr4
LOC422340	13173795	13184273	chr4
DCX	13191177	13263558	chr4
LOC101747909	13269404	13269868	chr4
CAPN6	13285351	13341795	chr4
PAK3	13385454	13351327	chr4
MIR1606	13396976	13396908	chr4
CHRDL1	13471386	13513126	chr4
AMMECR1	13580755	13652593	chr4
TMEM164	13696581	13658393	chr4
ACSL4	13721323	13755669	chr4
LOC100858624	13755762	13762357	chr4
NXT2	13773811	13767520	chr4
LOC422347	13836789	13858001	chr4
COL4A5	13917225	13861303	chr4
COL4A6	13941232	14062775	chr4
ATG4A	14074464	14062683	chr4
PSMD10	14074587	14077422	chr4
VSIG1	14102447	14081995	chr4
LOC422353	14112309	14148320	chr4
RAB39B	14155210	14162506	chr4
VBP1	14171601	14163661	chr4
LOC772071	14200592	14176312	chr4
GAB3	14266917	14211983	chr4
SMARCA1	14274574	14303016	chr4
LOC101749623	14324617	14335570	chr4
LOC101749735	14495244	14578768	chr4
LOC100858860	14639013	14709885	chr4
ODZ1	15251045	15482153	chr4
LOC100857869	15504697	15490889	chr4
STAG2	15604715	15532707	chr4
XIAP	15632841	15615492	chr4
THOC2	15643021	15695995	chr4
GRIA3	15845239	15703730	chr4
LOC101750639	15859856	15847748	chr4
LOC101750610	16042588	15870016	chr4
LOC101750537	16017419	16016162	chr4
LOC101750683	16335775	16322547	chr4
C1GALT1C1	16343009	16344700	chr4
MCTS1	16353033	16345549	chr4
CUL4B	16354477	16377621	chr4
LAMP2	16383564	16400292	chr4
ATP1B4	16409172	16402008	chr4
NKAP	16410712	16448863	chr4
ZBTB33	16440071	16438005	chr4
AKAP14	16452375	16450288	chr4
NDUFA1	16455366	16454187	chr4
UPF3B	16455049	16462728	chr4
RPL39	16462841	16465105	chr4
SEPT6	16468297	16491820	chr4
NKRF	16494097	16502391	chr4
UBE2A	16512992	16506437	chr4
CXORF56	16513771	16517513	chr4
SLC25A5	16524074	16521841	chr4
SLC25A43	16542422	16524998	chr4
MIR1757	16541410	16541306	chr4
LOC101750762	16545486	16547801	chr4
LOC428720	16553055	16551781	chr4
LOC101750818	16552941	16562590	chr4
PGRMC1	16575013	16569551	chr4
KIAA1210	16593132	16633638	chr4
LONRF3	16667844	16649143	chr4
COMMD5	16692032	16671909	chr4
FAM199X	16692171	16704042	chr4
RHOXF1	16733655	16725310	chr4
IL1RAPL2	16816945	17145254	chr4
LOC101751803	17151163	17153653	chr4
NRK	17161323	17256387	chr4
C4HXORF57	17262602	17286961	chr4
RNF128	17287636	17325213	chr4
TBC1D8B	17327766	17364151	chr4
PASD1	17413035	17365319	chr4
VMA21	17469988	17465115	chr4
LOC396318	17592302	17566155	chr4
HMGB3	17610920	17607452	chr4
CD99L2	17644997	17662913	chr4
MTMR1	17698302	17664308	chr4
MTM1	17741054	17699564	chr4
MAMLD1	17830487	17753389	chr4
LOC101747786	17924647	17921149	chr4
LOC772269	18005249	18003141	chr4
TMEM185A	18016257	18006593	chr4
LOC101747891	18016334	18030686	chr4
IDS	18031746	18046380	chr4
LOC422393	18085712	18100060	chr4
AFF2	18461671	18141909	chr4
FMR1NB	18624922	18610078	chr4
FMR1	18657594	18625007	chr4
LOC101751141	18743607	18756730	chr4
LOC101751345	18840090	18839689	chr4
LOC101751176	18919669	18934309	chr4
LOC100857927	19007955	19000001	chr4
LOC101751213	19013863	19018850	chr4
SLITRK2	19135001	19131330	chr4
TLR2-1	19203159	19204616	chr4
TLR2-2	19209334	19210878	chr4
LOC101748317	19225315	19257252	chr4
TRIM2	19312496	19349626	chr4
MND1	19356581	19395080	chr4
KIAA0922	19408207	19478973	chr4
LOC101748357	19487294	19479092	chr4
LOC100858824	19500994	19512199	chr4
SFRP2	19539594	19535952	chr4
LOC101748935	19572114	19582009	chr4
LOC769052	19752055	19706671	chr4
PLRG1	19777611	19765522	chr4
FGB	19781304	19787443	chr4
FGA	19800511	19793620	chr4
FGG	19810734	19805590	chr4
LOC100857197	19815525	19863662	chr4
LRAT	19866106	19869988	chr4
LOC101749555	19890738	19888808	chr4
RBM46	19890808	19899328	chr4
LOC101749696	20013620	19986970	chr4
NPY2R	20013683	20014840	chr4
LOC101749652	20075131	20016180	chr4
LOC101749594	20049973	20028980	chr4
MAP9	20097818	20084814	chr4
GUCY1A3	20224894	20259479	chr4
GUCY1B3	20263880	20303751	chr4
ASIC5	20337265	20322587	chr4
TDO2	20345290	20356883	chr4
CTSO	20364123	20356520	chr4
LOC101750570	20432917	20413922	chr4
LOC101750819	20652340	20649371	chr4
PDGFC	20652981	20768792	chr4
GLRB	20813531	20856803	chr4
GRIA2	20873393	20960836	chr4
LOC101750959	21174423	21187830	chr4
FAM198B	21235732	21218411	chr4
TMEM144	21238666	21255266	chr4
RXFP1	21328333	21378720	chr4
ETFDH	21379598	21397001	chr4
PPID	21405791	21395219	chr4
LOC101751357	21405871	21410368	chr4
FNIP2	21411958	21460059	chr4
C4H4ORF45	21496093	21464208	chr4
RAPGEF2	21509908	21683160	chr4
LOC101751729	21511534	21527933	chr4
LOC101751766	21853300	21879557	chr4
LOC101751804	22049066	22091894	chr4
FSTL5	22567882	22251623	chr4
LOC101751852	22550717	22524654	chr4
NAF1	22788371	22771828	chr4
NPY1R	22825737	22824459	chr4
NPY5R	22840762	22842093	chr4
C4H4ORF43	22863251	22880607	chr4
MARCH1	22969045	22885228	chr4
LOC101752330	23104827	22970111	chr4
LOC101747446	23185920	23199464	chr4
LOC101747395	23226957	23203271	chr4
LOC770154	23228517	23234473	chr4
LOC101747742	23265328	23263206	chr4
KLHL2	23265493	23326305	chr4
MSMO1	23326894	23333145	chr4
CPE	23336947	23383933	chr4
LOC101747843	23478715	23504796	chr4
TLL1	23520463	23653666	chr4
LOC101747892	23712831	23741488	chr4
LOC101747930	23772774	23795009	chr4
LOC101747978	23837552	23835442	chr4
LOC101748024	23885459	23878838	chr4
SPOCK3	24110778	23945564	chr4
LOC101748220	24217221	24138506	chr4
LOC101748522	24270722	24263788	chr4
LOC101748484	24317717	24291604	chr4
LOC101748439	24336523	24342941	chr4
LOC101748383	24344194	24345782	chr4
ANXA10	24393294	24416111	chr4
LOC422426	24418014	24425863	chr4
DDX60	24467983	24427934	chr4
PALLD	24485426	24673134	chr4
AADAT	24690961	24706017	chr4
LOC101749032	24734510	24738252	chr4
MFAP3L	24743873	24752044	chr4
C4H4ORF27	24796685	24802948	chr4
CLCN3	24864744	24804714	chr4
NEK1	24864909	24908146	chr4
SH3RF1	24926818	25001058	chr4
CBR4	25013215	25020275	chr4
LOC101749791	25149510	25169901	chr4
LOC101749828	25189640	25193954	chr4
LOC101749875	25394623	25464024	chr4
LOC101749921	25464874	25508975	chr4
LOC101749957	25850423	25855280	chr4
LOC101750000	25883986	25866777	chr4
LOC770611	25904125	25900769	chr4
LOC101750095	25990206	25983050	chr4
LOC101750132	26037330	26022445	chr4
LOC101750182	26186020	26184919	chr4
LOC101750230	26245477	26227339	chr4
PCDH10	26355293	26387417	chr4
LOC101750276	26533150	26537832	chr4
LOC101750313	26540603	26614873	chr4
LOC101750358	26904282	26921868	chr4
LOC101750457	27097993	27104482	chr4
LOC101750499	27110614	27116838	chr4
LOC101750538	27183600	27163185	chr4
LOC101749653	27272351	27270650	chr4
LOC101750622	27314739	27304539	chr4
LOC101750593	27343413	27323058	chr4
LOC101750722	27408800	27393973	chr4
LOC101750801	27549129	27525073	chr4
LOC101750763	27560799	27561519	chr4
PCDH18	28128729	28118901	chr4
SLC7A11	28435166	28376860	chr4
LOC101751121	28565799	28472465	chr4
LOC101751214	28666734	28650322	chr4
CCRN4L	28669758	28671567	chr4
ELF2	28706148	28677447	chr4
MGARP	28732897	28709755	chr4
NAA15	28735295	28768972	chr4
RAB33B	28777869	28784885	chr4
LOC422442	28800501	28797687	chr4
SETD7	28817428	28800505	chr4
MGST2	28831946	28841792	chr4
MAML3	29046878	28845333	chr4
MIR1575	28998781	28998678	chr4
LOC101751730	29097500	29053869	chr4
SCOC	29097815	29101377	chr4
CLGN	29121304	29103756	chr4
LOC422448	29155687	29125780	chr4
ELMOD2	29161345	29168338	chr4
TBC1D9	29219142	29172972	chr4
RNF150	29359418	29239255	chr4
ZNF330	29384972	29396059	chr4
IL15	29463696	29495839	chr4
LOC101747424	29534091	29525658	chr4
INPP4B	29822761	29544242	chr4
USP38	29887341	29907966	chr4
LOC101747743	29928067	29929219	chr4
GAB1	29955405	30052240	chr4
LOC101749958	30058874	30062361	chr4
SMARCA5	30063733	30084411	chr4
LOC101748195	30164156	30166915	chr4
HHIP	30291127	30371234	chr4
ANAPC10	30455262	30422021	chr4
ABCE1	30460599	30470725	chr4
OTUD4	30502041	30471610	chr4
LOC100858273	30502166	30509593	chr4
SMAD1	30583397	30607671	chr4
MMAA	30626304	30633630	chr4
ZNF827	30738181	30653418	chr4
LSM6	30814002	30819033	chr4
LOC101749269	30825454	30828614	chr4
LOC101749214	30830008	30835222	chr4
SLC10A7	30997483	30847192	chr4
POU4F2	31020120	31020998	chr4
TTC29	31266450	31028075	chr4
EDNRA	31349185	31378701	chr4
TMEM184C	31400289	31410848	chr4
PRMT10	31427933	31410341	chr4
LOC101749810	31427068	31430461	chr4
ARHGAP10	31431853	31560564	chr4
NR3C2	31762701	31564707	chr4
LOC101749624	31866379	31871572	chr4
LOC101749751	31968080	31960233	chr4
LOC101749792	31970758	31981745	chr4
LOC101749829	32017256	32007342	chr4
LOC100857543	32134909	32021925	chr4
DCLK2	32207353	32284245	chr4
LRBA	32664276	32292533	chr4
MAB21L2	32453835	32455056	chr4
RPS3A	32682086	32685468	chr4
SH3D19	32763808	32687175	chr4
LOC101750441	32698521	32697369	chr4
FAM160A1	32789628	32874526	chr4
PET112	32923358	32880208	chr4
ITPKA	33125806	33125536	chr4
FBXW7	33250371	33126034	chr4
TMEM154	33320966	33309157	chr4
LOC101751122	33332619	33325520	chr4
ARFIP1	33332706	33373416	chr4
FHDC1	33376920	33409079	chr4
LOC101751310	33434022	33420077	chr4
C4ORF33	33471777	33467434	chr4
SCLT1	33471796	33495327	chr4
CDKL2	33508847	33497116	chr4
SH2D4A	33513183	33525476	chr4
CSGALNACT1	33568377	33514427	chr4
INTS10	33574071	33592674	chr4
HGSNAT	33603774	33592783	chr4
SGK196	33604108	33607972	chr4
C4H8ORF40	33613026	33615356	chr4
SLC20A2	33615579	33672960	chr4
INTU	33700930	33739802	chr4
HSPA4L	33746859	33769344	chr4
LOC101747307	33788152	33772522	chr4
LOC422497	33788453	33802624	chr4
MFSD8	33814801	33804035	chr4
C4H4ORF29	33814688	33837398	chr4
LARP1B	33840095	33873994	chr4
PGRMC2	33891275	33880612	chr4
PHF17	33904867	34040296	chr4
RCHY1	34042652	34047117	chr4
PARM1	34061968	34053485	chr4
BTC	34063268	34068601	chr4
GSR	34074230	34069406	chr4
PPP2CB	34086885	34074452	chr4
PURG	34114279	34089337	chr4
WRN	34116975	34158143	chr4
GTF2E2	34158265	34182800	chr4
SMIM18	34168490	34162381	chr4
RBPMS	34192909	34187718	chr4
DCTN6	34196053	34194249	chr4
FRAS1	34367351	34203109	chr4
MRPL1	34398316	34378887	chr4
CNOT6L	34396941	34431205	chr4
CXCL13L2	34451777	34432250	chr4
CCNG2	34467657	34461811	chr4
LOC422513	34474322	34493166	chr4
PIGY	34488049	34485767	chr4
LOC101750133	34495839	34498885	chr4
HERC3	34496081	34539939	chr4
FAM13A	34659086	34540173	chr4
GPRIN3	34696278	34687591	chr4
LOC101749420	34759243	34778275	chr4
LOC101749470	34805433	34798514	chr4
SNCA	34885434	34818542	chr4
MMRN1	34906744	34949826	chr4
FAM190A	35009438	35627306	chr4
GRID2	35785460	36483182	chr4
ATOH1	36493683	36494650	chr4
SMARCAD1	36577169	36618510	chr4
HPGDS	36646426	36621101	chr4
OPN4-1	36689407	36703529	chr4
SEC24B	36758894	36718080	chr4
COL25A1	36798794	37098378	chr4
AGXT2L1	37104599	37117447	chr4
OSTC	37157851	37153780	chr4
RPL34	37162623	37159322	chr4
LOC101750518	37176259	37180346	chr4
LOC101750571	37265044	37249128	chr4
LEF1	37323508	37377729	chr4
HADH	37406354	37389441	chr4
LOC422528	37420285	37407621	chr4
LOC101750654	37420629	37429130	chr4
SGMS2	37455185	37429620	chr4
LOC100858573	37454922	37460804	chr4
LOC101750702	37482623	37479311	chr4
PAPSS1	37490650	37526573	chr4
DKK2	37660209	37701317	chr4
LOC101750941	37745228	37707608	chr4
GIMD1	37841286	37847059	chr4
AIMP1	37878696	37847752	chr4
TBCK	37878922	37971616	chr4
LOC768726	37996878	37999834	chr4
NPNT	38043623	37998711	chr4
GSTCD	38124616	38058308	chr4
INTS12	38124331	38140689	chr4
ARHGEF38	38181981	38142604	chr4
PPA2	38189992	38225681	chr4
TET2	38277565	38256307	chr4
LOC100858686	38351746	38377607	chr4
MIR1627	38434799	38434868	chr4
TACR3	38619058	38652702	chr4
UFSP2	38695965	38707539	chr4
LRP2BP	38707891	38716251	chr4
SNX25	38772892	38716663	chr4
LOC101747266	38778550	38783291	chr4
KIAA1430	38783380	38804671	chr4
SLC25A4	38809857	38807035	chr4
LOC769128	38831703	38843356	chr4
HELT	38848999	38847973	chr4
LOC101747616	38882882	38877207	chr4
ACSL1	38883037	38919987	chr4
MLF1IP	38921548	38931422	chr4
CCDC111	38947734	38931716	chr4
CASP3	38947850	38958555	chr4
LOC101747722	38986599	38971672	chr4
IRF2	38987654	39011877	chr4
ENPP6	39028431	39054525	chr4
STOX2	39189732	39060403	chr4
C4H4ORF41	39225725	39200825	chr4
RWDD4	39225929	39235009	chr4
ING2	39273400	39268086	chr4
CDKN2AIP	39282254	39278110	chr4
LOC100858888	39282254	39326719	chr4
LOC100858925	39326675	39329817	chr4
WWC2	39417275	39330559	chr4
DCTD	39453021	39473004	chr4
ODZ3	39814663	39503734	chr4
LOC101748196	39797581	39790269	chr4
LOC101748149	40581788	39948281	chr4
LOC101748109	40591635	40604467	chr4
LOC100859119	40787014	40733298	chr4
LOC101748815	40922396	40924662	chr4
LOC101748857	41137024	41154478	chr4
LOC101748900	41324218	41328545	chr4
LOC101748936	41461237	41455176	chr4
LOC101749009	41528142	41470011	chr4
LOC101748972	41573353	41551015	chr4
AGA	41662545	41674476	chr4
NEIL3	41701452	41683960	chr4
LOC101749193	41701474	41738702	chr4
LOC101749228	41843184	41920189	chr4
LOC101749270	42037757	42063067	chr4
GALNTL6	42204477	42635640	chr4
LOC101749302	42597608	42600185	chr4
LOC101749452	42639438	42653837	chr4
GALNT7	42697173	42736148	chr4
HMGB2	42743019	42741344	chr4
SCRG1	42766706	42760747	chr4
LOC769756	42824827	42814979	chr4
LOC101749678	42837778	42839728	chr4
LOC100859144	42899377	42891954	chr4
MIR1776	43047467	43047567	chr4
LOC101749830	43125228	43119683	chr4
FBXO8	43148365	43131544	chr4
CEP44	43148380	43160919	chr4
HPGD	43236899	43211048	chr4
LOC101750023	43243186	43261295	chr4
LOC101750070	43263091	43266077	chr4
GLRA3	43375901	43302325	chr4
TRNAM-CAU	43349872	43349943	chr4
LOC100859267	43393191	43459564	chr4
LOC101750231	43460629	43478580	chr4
LOC101750640	43487994	43492077	chr4
GPM6A	43666279	43568146	chr4
LOC101750422	43720085	43686988	chr4
WDR17	43720114	43766315	chr4
SPATA4	43773179	43766435	chr4
ASB5	43808359	43775372	chr4
SPCS3	43812170	43816806	chr4
VEGFC	43954899	43886406	chr4
LOC100859478	44049465	44053997	chr4
MTHFD2L	44090556	44116899	chr4
EPGN	44118458	44127183	chr4
EREG	44141843	44149715	chr4
LOC101751007	44159174	44158766	chr4
AREGB	44160740	44167215	chr4
LOC101751051	44176960	44178992	chr4
USO1	44228430	44202173	chr4
G3BP2	44229059	44254058	chr4
BMP2K	44291880	44353003	chr4
PAQR3	44360948	44353528	chr4
ANTXR2	44720786	44619506	chr4
LOC777386	44734218	44737120	chr4
FGF5	44740473	44744576	chr4
BMP3	44875604	44889934	chr4
RASGEF1B	44912221	45022527	chr4
PRKG2	45033312	45058357	chr4
PKD2	45073961	45059573	chr4
SPP1	45077215	45074170	chr4
MEPE	45089173	45085659	chr4
IBSP	45091107	45089887	chr4
DMP1	45095390	45093170	chr4
SPARCL1	45103651	45114270	chr4
NUDT9	45120701	45114448	chr4
LOC428754	45120839	45127902	chr4
LOC101747510	45131539	45132310	chr4
HSD17B11	45133424	45138549	chr4
KLHL8	45142123	45159564	chr4
AFF1	45220833	45161580	chr4
PTPN13	45330816	45224941	chr4
MAPK10	45450324	45350900	chr4
ARHGAP24	45673790	45478437	chr4
COPS4	45698337	45689893	chr4
LIN54	45698434	45734458	chr4
THAP9	45743047	45738381	chr4
SEC31A	45743706	45776737	chr4
SCD5	45779967	45797401	chr4
TMEM150C	45801899	45815945	chr4
ENOPH1	45820677	45815925	chr4
HNRPDL	45820566	45824902	chr4
MIR1804	45821511	45821593	chr4
HNRNPD	45825484	45834281	chr4
PLAC8	45841650	45840213	chr4
LOC100857411	45843200	45841900	chr4
COQ2	45856097	45848607	chr4
HPSE	45863017	45858598	chr4
HELQ	45882061	45865642	chr4
MRPS18C	45882026	45884194	chr4
FAM175A	45891136	45885304	chr4
LOC422609	45896733	45914373	chr4
AGPAT9	45924717	45942347	chr4
LOC101749774	46120684	46172874	chr4
NKX6-1	46222168	46213238	chr4
CDS1	46222082	46248872	chr4
WDFY3	46292180	46402341	chr4
PPM1K	46425580	46407460	chr4
LOC101748637	46613460	46612838	chr4
LOC100859459	46840050	46761620	chr4
LOC101748838	46937835	46944041	chr4
LOC101748937	47008582	47083941	chr4
LOC101749033	47289728	47291165	chr4
LOC101749070	47300157	47306136	chr4
LPHN3	47308235	47799354	chr4
MIR1730	47627247	47627339	chr4
LOC101748088	48010242	48008341	chr4
TECRL	48553046	48498874	chr4
IGFBP7	48581286	48595111	chr4
POLR2B	48614515	48595105	chr4
NOA1	48614753	48620114	chr4
REST	48637458	48622687	chr4
TMEM66	48654556	48646915	chr4
LEPROTL1	48654666	48658034	chr4
SRP72	48659743	48674370	chr4
ARL9	48676353	48680178	chr4
HOPX	48688644	48685348	chr4
SPINK2	48711228	48706783	chr4
DUSP4	48779946	48788751	chr4
TNKS	48900575	48794273	chr4
LOC101750338	48903609	48926626	chr4
ERI1	48927640	48936506	chr4
LOC101750406	48950718	48953798	chr4
PPP1R3B	48966733	48961336	chr4
LOC101750723	48966782	48983638	chr4
LOC430303	48984040	48996739	chr4
CLDN23	48998298	48997019	chr4
SGK223	49013220	49030507	chr4
MBOAT4	49034980	49033103	chr4
CL2	49042706	49041665	chr4
CCNI	49047138	49072288	chr4
SEPT11	49125097	49071970	chr4
SOWAHB	49129198	49134545	chr4
LGALS1	49143574	49145910	chr4
SHROOM3	49290798	49154779	chr4
LOC101751531	49310115	49333852	chr4
STBD1	49316787	49315132	chr4
FAM47E	49333553	49326478	chr4
SCARB2	49333782	49354496	chr4
NUP54	49355388	49367039	chr4
PPEF2	49390420	49368257	chr4
NAAA	49399884	49390517	chr4
SDAD1	49415566	49401205	chr4
FAM47E	49418879	49429863	chr4
IGJ	49434990	49429222	chr4
UTP3	49439507	49441205	chr4
RUFY3	49450997	49494983	chr4
GRSF1	49502166	49495279	chr4
MIR1751	49506377	49506466	chr4
MOBKL1A	49514072	49546364	chr4
DCK	49546609	49557045	chr4
LOC101747494	49560500	49573752	chr4
SLC4A4	49595108	49793026	chr4
LOC101747290	49799157	49793190	chr4
GC	49822899	49817085	chr4
LOC100858497	49825418	49826440	chr4
NPFFR2	49832925	49847031	chr4
LOC101747723	49887484	49891594	chr4
ADAMTS3	50020978	49892023	chr4
COX18	50145278	50092824	chr4
ANKRD17	50226119	50147130	chr4
ALB	50253096	50265931	chr4
AFP	50279532	50288720	chr4
RASSF6	50313151	50291684	chr4
IL8L1	50342296	50345375	chr4
IL8L2	50354926	50358090	chr4
LOC422654	50379526	50381069	chr4
LOC101748506	50405844	50461875	chr4
EPHA5	50669288	50470435	chr4
MIR1679	50526374	50526287	chr4
LOC101748536	50670614	50689369	chr4
LOC101748654	50987951	50981479	chr4
CENPC1	51021039	50989141	chr4
STAP1	51021752	51042845	chr4
UBA6	51065521	51033577	chr4
TMPRSS11E	51079175	51069689	chr4
TMPRSS11D	51110578	51078650	chr4
TMPRSS11F	51163389	51117505	chr4
YTHDC1	51164838	51179559	chr4
UGT2A3	51203309	51190599	chr4
SULT1B1	51213076	51210794	chr4
SULT1E1	51215814	51213878	chr4
LOC101749381	51539038	51544948	chr4
LOC101749421	51569399	51588090	chr4
LOC100857453	51658547	51676468	chr4
LOC101749514	51741225	51758591	chr4
LOC101749556	51850773	51835775	chr4
LOC101749595	51908406	51896523	chr4
FAT4	52061307	51924598	chr4
LOC101749654	52194401	52208060	chr4
ANKRD50	52292596	52333228	chr4
LOC101749793	52419429	52539387	chr4
LOC101749752	52561837	52553867	chr4
SPRY1	52776447	52775482	chr4
SPATA5	52983699	52798987	chr4
NUDT6	52990640	52995151	chr4
FGF2	53018928	52994729	chr4
BBS12	53050340	53028363	chr4
CETN1	53050500	53055397	chr4
IL21	53097087	53101842	chr4
IL2	53134199	53137244	chr4
ADAD1	53154359	53143548	chr4
KIAA1109	53263908	53154682	chr4
LOC101751215	53269165	53264694	chr4
TRPC3	53296273	53335467	chr4
BBS7	53335681	53350687	chr4
CCNA2	53350889	53356333	chr4
EXOSC9	53364025	53358779	chr4
ANXA5	53390500	53412510	chr4
QRFPR	53488503	53508185	chr4
TNIP3	53512165	53591272	chr4
NDNF	53597390	53623664	chr4
PRDM5	53645469	53728992	chr4
LOC101751990	53794922	53807815	chr4
MAD2L1	53952148	53955582	chr4
RPL7L1	53959857	53956191	chr4
PDE5A	54050907	54125865	chr4
FABP2	54134350	54136795	chr4
USP53	54181655	54145671	chr4
MYOZ2	54210687	54193498	chr4
SYNPO2	54321625	54229831	chr4
LOC101752030	54321647	54335578	chr4
SEC24D	54336854	54389175	chr4
METTL14	54417622	54393962	chr4
LOC101747787	54431357	54422893	chr4
PRSS12	54431896	54470698	chr4
NDST3	54549832	54478016	chr4
LOC101751205	55371862	55358853	chr4
NDST4	55674458	55808833	chr4
UGT8	55882422	55857392	chr4
LOC101747253	55900578	56050480	chr4
ARSJ	56052105	56091967	chr4
LOC101751638	56117662	56141561	chr4
CAMK2D	56206939	56304514	chr4
LOC101751905	56306873	56305396	chr4
ANK2	56487700	56332865	chr4
LARP7	56706891	56679246	chr4
MIR302B	56692821	56692892	chr4
MIR302C	56693083	56693147	chr4
MIR1811	56693205	56693285	chr4
MIR302A	56693386	56693452	chr4
